date,fips,county,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-08-21,36003,Allegany,0.0,73.0,30.86,1.0,0.0,10.0,3.71,10.0,3.71,0.0,0.0
2020-08-21,36005,Bronx,0.0,3565.86,2280.86,77.71,62.57,500.14,332.86,384.14,212.29,11.43,7.86
2020-08-21,36007,Broome,0.0,577.57,349.29,14.29,14.29,60.86,35.71,60.86,35.14,8.0,8.0
2020-08-21,36009,Cattaraugus,0.0,38.0,38.0,0.86,0.0,2.43,2.43,2.14,2.43,0.0,0.0
2020-08-21,36011,Cayuga,0.0,0.0,74.86,3.57,0.71,19.0,6.86,19.0,6.86,0.0,0.0
2020-08-21,36013,Chautauqua,0.0,154.29,117.29,0.0,0.0,15.57,11.0,15.57,9.0,0.0,0.0
2020-08-21,36015,Chemung,0.0,165.0,117.71,0.0,0.0,20.0,14.86,20.0,14.86,0.0,0.0
2020-08-21,36017,Chenango,0.0,0.0,6.86,0.0,0.0,7.0,1.43,0.0,0.0,0.0,0.0
2020-08-21,36019,Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36021,Columbia,0.0,58.29,58.29,0.0,0.0,7.14,1.43,0.0,1.43,0.0,0.0
2020-08-21,36023,Cortland,0.0,66.0,34.29,0.0,0.0,10.29,5.0,10.29,5.0,0.0,0.0
2020-08-21,36025,Delaware,0.0,49.71,11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36027,Dutchess,0.0,448.0,340.57,35.29,8.71,48.14,40.29,32.0,25.71,4.43,1.43
2020-08-21,36029,Erie,0.0,1944.71,1629.43,37.14,22.14,445.14,175.43,341.0,144.0,8.14,4.14
2020-08-21,36031,Essex,0.0,25.0,14.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36033,Franklin,0.0,151.0,42.29,7.29,0.0,17.0,2.29,17.0,2.29,1.0,0.0
2020-08-21,36035,Fulton,0.0,0.0,22.14,1.14,0.0,8.0,4.14,8.0,4.14,0.0,0.0
2020-08-21,36037,Genesee,0.0,0.0,37.14,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0
2020-08-21,36039,Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36041,Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36043,Herkimer,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36045,Jefferson,0.0,14.71,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36047,Kings,0.0,3252.43,2056.57,133.43,30.57,379.29,257.0,295.86,188.71,19.29,8.29
2020-08-21,36049,Lewis,0.0,35.71,11.71,0.0,0.0,4.29,1.43,4.29,1.43,0.0,0.0
2020-08-21,36051,Livingston,0.0,36.0,28.29,1.29,1.0,8.0,4.71,8.0,4.71,0.0,0.0
2020-08-21,36053,Madison,0.0,39.14,34.86,2.71,1.71,8.86,4.86,7.14,4.86,0.86,0.0
2020-08-21,36055,Monroe,0.0,1377.0,1792.43,17.57,13.43,426.0,185.14,204.0,112.57,4.71,4.43
2020-08-21,36057,Montgomery,0.0,83.57,43.14,1.0,0.71,8.57,4.0,7.86,4.0,0.0,0.0
