date,fips,county,boundary,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-08-21,36011,Cayuga,1.0,0.0,72.3,1.0,1.0,19.0,6.9,19.0,6.9,0.0,0.0
2020-08-21,36013,Chautauqua,1.0,171.0,105.9,1.0,1.0,19.0,10.0,19.0,9.0,0.0,0.0
2020-08-21,36015,Chemung,1.0,165.0,116.7,0.0,0.0,20.0,14.9,20.0,14.9,0.0,0.0
2020-08-21,36017,Chenango,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
2020-08-21,36019,Clinton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36021,Columbia,1.0,81.6,81.6,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0
2020-08-21,36023,Cortland,1.0,77.0,39.8,0.0,0.0,12.0,5.8,12.0,5.8,0.0,0.0
2020-08-21,36025,Delaware,1.0,53.0,10.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36027,Dutchess,1.0,448.0,326.0,33.3,8.1,48.1,40.3,32.0,25.7,2.0,2.0
2020-08-21,36029,Erie,1.0,1950.7,1359.4,38.1,20.6,458.0,184.0,341.0,144.0,7.4,2.0
2020-08-21,36031,Essex,1.0,25.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,36033,Franklin,1.0,151.0,42.3,6.7,0.0,17.0,2.0,17.0,2.0,1.0,0.0
2020-08-21,36035,Fulton,1.0,0.0,0.0,1.0,0.0,8.0,4.1,8.0,4.1,1.0,0.0
2020-08-21,36037,Genesee,1.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0
2020-08-21,36039,Greene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
