date,fips,county,hospital_pk,total_adult_inpatient_sum,total_adult_used_inpatient_sum,total_adult_confirmed_and_suspected_covid_sum,total_adult_confirmed_covid_sum,total_icu_sum,used_icu_sum,total_staffed_adult_icu_sum,used_staffed_adult_icu_sum,staffed_icu_adult_confirmed_and_suspected_covid_sum,staffed_icu_adult_confirmed_covid_sum,total_adult_inpatient_avg,total_adult_used_inpatient_avg,total_adult_confirmed_and_suspected_covid_avg,total_adult_confirmed_covid_avg,total_icu_avg,used_icu_avg,total_staffed_adult_icu_avg,used_staffed_adult_icu_avg,staffed_icu_adult_confirmed_and_suspected_covid_avg,staffed_icu_adult_confirmed_covid_avg
2020-07-31,36085,Richmond,330028,,,76,48,259,155,,,24,24,,,10.9,6.9,37.0,22.1,,,-999999.0,-999999.0
2020-07-31,36087,Rockland,330158,,,30,11,,,,,5,-999999,,,4.3,-999999.0,,,,,-999999.0,-999999.0
2020-07-31,36087,Rockland,330104,,,9,5,,,,,0,0,,,-999999.0,-999999.0,,,,,0.0,0.0
2020-07-31,36089,St. Lawrence,330223,62,62,,,0,0,,,,,15.5,15.5,,,0.0,0.0,,,,
2020-07-31,36089,St. Lawrence,331315,60,60,,,0,0,,,,,15.0,15.0,,,0.0,0.0,,,,
2020-07-31,36089,St. Lawrence,330211,195,243,0,,23,23,17,23,,,48.8,48.6,0.0,,4.6,4.6,4.3,4.6,,
2020-07-31,36089,St. Lawrence,330197,,,25,25,84,32,,,,,,,-999999.0,-999999.0,12.0,4.6,,,,
2020-07-31,36091,Saratoga,330222,,624,17,17,124,101,,101,6,6,,156.0,4.3,4.3,31.0,25.3,,25.3,-999999.0,-999999.0
2020-07-31,36093,Schenectady,330153,1890,1196,28,0,264,197,264,197,19,0,315.0,199.3,4.7,0.0,44.0,32.8,44.0,32.8,-999999.0,0.0
2020-07-31,36093,Schenectady,330406,,,0,0,,,,,0,0,,,0.0,0.0,,,,,0.0,0.0
2020-07-31,36095,Schoharie,331320,217,97,6,4,0,0,0,0,,,31.0,13.9,-999999.0,-999999.0,0.0,0.0,0.0,0.0,,
2020-07-31,36097,Schuyler,331313,182,98,0,0,0,0,,,,,26.0,14.0,0.0,0.0,0.0,0.0,,,,
2020-07-31,36101,Steuben,330144,,18,-999999,-999999,0,0,,,,,,4.5,-999999.0,-999999.0,0.0,0.0,,,,
2020-07-31,36101,Steuben,330151,133,48,-999999,,0,0,0,,,,19.0,6.9,-999999.0,,0.0,0.0,0.0,,,
2020-07-31,36101,Steuben,330277,,275,-999999,,56,19,,19,,,,39.3,-999999.0,,8.0,-999999.0,,-999999.0,,
2020-07-31,36103,Suffolk,330045,1698,1239,179,53,306,175,306,163,7,5,283.0,206.5,29.8,8.8,51.0,29.2,51.0,27.2,-999999.0,-999999.0
2020-07-31,36103,Suffolk,330185,1230,712,273,19,156,64,156,64,23,8,205.0,118.7,45.5,-999999.0,26.0,10.7,26.0,10.7,-999999.0,-999999.0
2020-07-31,36103,Suffolk,330043,1558,1305,179,45,292,225,292,187,6,0,259.7,217.5,29.8,7.5,48.7,37.5,48.7,31.2,-999999.0,0.0
2020-07-31,36103,Suffolk,330401,1477,912,18,12,161,65,161,65,-999999,-999999,211.0,130.3,-999999.0,-999999.0,23.0,9.3,23.0,9.3,-999999.0,-999999.0
2020-07-31,36103,Suffolk,330141,1463,1052,108,15,168,138,168,138,28,0,209.0,150.3,15.4,-999999.0,24.0,19.7,24.0,19.7,4.0,0.0
2020-07-31,36103,Suffolk,330286,2639,1974,57,55,679,398,539,272,20,20,377.0,282.0,8.1,7.9,97.0,56.9,77.0,38.9,-999999.0,-999999.0
2020-07-31,36103,Suffolk,330393,4494,3373,124,62,651,414,581,371,5,5,642.0,481.9,17.7,8.9,93.0,59.1,83.0,53.0,-999999.0,-999999.0
2020-07-31,36103,Suffolk,330246,,977,6,6,204,38,,38,0,0,,162.8,-999999.0,-999999.0,34.0,6.3,,6.3,0.0,0.0
2020-07-31,36105,Sullivan,330386,435,350,12,0,95,28,95,28,-999999,0,87.0,70.0,-999999.0,0.0,19.0,5.6,19.0,5.6,-999999.0,0.0
2020-07-31,36109,Tompkins,330307,600,507,9,0,112,52,112,52,0,0,150.0,72.4,-999999.0,0.0,16.0,7.4,16.0,7.4,0.0,0.0
2020-07-31,36111,Ulster,330224,,,,,0,0,,,,,,,,,0.0,0.0,,,,
2020-07-31,36111,Ulster,331310,266,149,6,6,0,0,0,0,0,0,38.0,21.3,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,36111,Ulster,330004,805,624,14,-999999,91,38,91,38,-999999,0,115.0,89.1,-999999.0,-999999.0,13.0,5.4,13.0,5.4,-999999.0,0.0
2020-07-31,36113,Warren,330191,1442,1188,17,7,154,95,154,95,0,0,206.0,169.7,-999999.0,-999999.0,22.0,13.6,22.0,13.6,0.0,0.0
2020-07-31,36117,Wayne,330030,,,,,84,44,,,,,,,,,14.0,7.3,,,,
2020-07-31,36119,Westchester,330267,728,570,57,57,112,78,84,67,11,11,104.0,81.4,8.1,8.1,16.0,11.1,12.0,9.6,-999999.0,-999999.0
2020-07-31,36119,Westchester,330208,,107,28,-999999,52,13,,13,-999999,,,107.0,28.0,-999999.0,52.0,13.0,,13.0,-999999.0,
2020-07-31,36119,Westchester,330234,,,134,79,1055,790,,,4,0,,,19.1,11.3,211.0,158.0,,,-999999.0,0.0
2020-07-31,36119,Westchester,330304,2126,1425,74,43,679,77,574,77,8,8,303.7,203.6,10.6,6.1,97.0,11.0,82.0,11.0,-999999.0,-999999.0
2020-07-31,36119,Westchester,330006,728,543,203,-999999,84,38,84,38,19,0,104.0,77.6,29.0,-999999.0,12.0,5.4,12.0,5.4,-999999.0,0.0
2020-07-31,36119,Westchester,330261,930,408,35,15,72,38,72,38,0,0,155.0,68.0,5.8,-999999.0,12.0,6.3,12.0,6.3,0.0,0.0
2020-07-31,36119,Westchester,330162,996,376,56,9,186,27,186,27,-999999,0,166.0,62.7,9.3,-999999.0,31.0,4.5,31.0,4.5,-999999.0,0.0
2020-07-31,36119,Westchester,330086,240,126,0,,55,0,55,0,0,0,60.0,25.2,0.0,,11.0,0.0,11.0,0.0,0.0,0.0
2020-07-31,36119,Westchester,330184,1120,536,36,13,224,40,224,40,12,7,160.0,76.6,5.1,-999999.0,32.0,5.7,32.0,5.7,-999999.0,-999999.0
2020-07-31,36123,Yates,331314,126,70,0,0,0,0,0,0,0,0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36001,Albany,330057,3290,2397,62,60,336,164,196,125,10,10,470.0,342.4,8.9,8.6,48.0,23.4,28.0,17.9,-999999.0,-999999.0
2020-08-07,36003,Allegany,330096,371,156,7,4,70,15,70,15,,,53.0,22.3,-999999.0,-999999.0,10.0,-999999.0,10.0,-999999.0,,
2020-08-07,36003,Allegany,331301,36,36,,,0,0,,,,,6.0,6.0,,,0.0,0.0,,,,
2020-08-07,36005,Bronx,330399,2037,1336,62,37,392,220,308,208,18,-999999,291.0,190.9,8.9,5.3,56.0,31.4,44.0,29.7,-999999.0,-999999.0
2020-08-07,36005,Bronx,330385,3110,562,11,10,882,70,882,66,6,5,444.3,80.3,-999999.0,-999999.0,126.0,10.0,126.0,9.4,-999999.0,-999999.0
2020-08-07,36005,Bronx,330127,3603,2007,103,47,488,454,425,289,32,19,514.7,286.7,14.7,6.7,69.7,64.9,60.7,41.3,4.6,-999999.0
2020-08-07,36005,Bronx,332006,1575,1133,171,171,0,0,0,0,0,0,225.0,161.9,24.4,24.4,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-07,36005,Bronx,330059,9428,7259,203,203,1405,1087,833,632,12,12,1346.9,1037.0,29.0,29.0,200.7,155.3,119.0,90.3,-999999.0,-999999.0
